Location number,Location name,Lat,Lon,Corr with Adult female lice,Corr with Lice in moving stages,Corr with Attached lice
18275,Kjeringå,59.19203,5.870017,-0.231770355,-0.316080492,-0.232238497
18639,Halsavika,59.39232,5.883333,-0.047824369,-0.203003948,-0.196275398
18657,Skredstivik,61.15495,5.133333,0.025368478,-0.093257668,-0.154688046
18717,Hammarvika,67.132286,14.313183,0.092290802,0.179593617,0.257955376
18755,Klungset,64.74997,11.394183,0.160633033,0.134958799,0.054196662
18898,Skaftå,60.458084,5.631333,-0.10278623,-0.14316697,-0.153962565
18936,Igerøy Ø,65.6862,12.139167,0.194003873,0.169768729,0.182371537
19015,Stokkvika,63.333534,9.180583,0.422638338,0.337732264,0.131273123
19016,Storskogøya,63.506065,9.19075,0.202181611,0.347270668,0.273131621
19098,Leivsethamran,67.22784,15.348633,-0.044420968,-0.085480561,0.00751231
19115,Fugløya,63.475918,9.109833,0.156583255,0.166819663,0.181590897
19135,Sandøya III,64.24337,10.263817,0.165043002,0.180276752,0.251650809
19195,Korsholman,63.597218,8.51575,0.160202194,0.144988328,0.140565611
19235,Vindvika,67.533165,15.165583,0.029656992,0.064821167,0.0712863
19278,Forsåstorvika,68.170715,16.153233,0.167815019,0.046126624,0.101633631
19335,Eidemolla,70.67173,27.13395,0.241056798,0.212654026,0.287909339
19336,Flatholmen,59.4293,5.114483,-0.176746562,-0.153160963,0.046393162
19355,Låva,59.2966,5.990283,0.075581607,-0.190386746,-0.251705414
19356,Kvalrosskjæret,64.5387,10.877383,0.156530067,0.157966802,0.21764631
19556,Pundsvik,68.417534,16.79135,0.119257588,0.291627362,0.32317456
19635,Skatleia,68.8001,14.593767,0.210793703,0.128452289,-0.141922123
19655,Ospeneset,60.74687,5.268483,0.117012545,0.031951443,-0.15387607
19755,Klubben,65.35318,12.441067,-0.069546826,0.008835991,0.053965924
19855,Segelråa,63.149746,8.12855,0.129416189,-0.019219449,-0.09371334
19875,Or,63.039932,7.850267,0.141316095,0.118321226,-0.115591835
19939,Høysteinen,60.157417,6.050117,-0.031870609,-0.052547337,-0.169645332
19977,Jektholmen,63.99495,9.928317,0.283667107,0.261264346,0.076581298
19995,Hagahammaren,63.137917,8.0306,0.076716426,-0.064226422,-0.012646937
20075,Tjajneluokta,67.89243,16.236717,-0.034125474,-0.112898426,-0.027880274
20096,Sandholman,68.06018,13.5389,0.069526152,0.085877985,0.065276165
20115,Skjerholmen N,60.249966,5.174483,0.049802811,-0.068056945,-0.270915106
20315,Overåneset V,62.30065,7.085433,-0.088572264,-0.265533028,-0.268324496
20316,Korsnes,68.33148,14.948217,-0.079550427,0.00146414,0.051531557
20396,Bergsnes V,70.2293,23.319834,-0.064571394,0.031612981,0.055526997
20455,Djupevika,60.04095,6.009367,-0.074888328,-0.09513686,-0.155213856
20559,Langskjæra,63.8225,8.75505,0.135337405,0.229987638,0.122673762
20576,Kvanntoneset,68.81382,17.521017,-0.018438276,0.045099244,0.188512827
20595,Kyrholmen S,60.161583,5.207633,-0.024925168,-0.08870173,-0.192725859
20776,Storoksen,60.530884,4.97325,-0.143673198,-0.21448196,-0.312982803
20796,Skarbukta,62.59785,7.367717,0.159740457,0.155618585,0.223659997
20815,Slettvika,62.334,6.157667,0.066827459,0.131774909,0.212497304
20876,Børøya,68.84437,14.85465,-0.170948023,0.114048843,0.065915152
20897,Gisløy S,68.94144,15.30745,-0.084561765,0.0229502,-0.000336564
21016,Husfjord,70.549515,22.955883,0.024075142,0.129265516,0.216728041
21055,Foldøy Ø,59.337482,5.987767,0.43927987,0.238896487,-0.384794425
21176,Risvik,68.08141,16.321417,0.248026209,0.225971486,0.264610846
21335,Floteneset,61.1936,5.801617,0.079961561,-0.062233178,-0.218434969
21336,Djupeleget,61.16942,5.80735,-0.011046387,-0.267368902,-0.182163314
21337,Kveitholmen,66.3242,12.647583,0.236714311,0.347785446,0.27234818
21397,Midt Femris,67.036934,13.967767,0.060676856,0.193606081,0.210089727
21415,Dyrholmen,59.285484,5.8583,-0.090848164,-0.147320056,-0.305681431
21495,Risværgalten,64.96537,11.532783,-0.094972481,0.232354413,0.249793485
21516,Hulløyhamn Ø,68.05714,16.204468,-0.090285363,-0.030212069,0.198674847
21517,Storvika,67.534836,15.314517,0.350572946,0.275343785,0.033731409
21676,Kråkholmen,64.60255,10.854067,0.033597361,0.052700567,0.079866556
21755,Tendalsvik,59.736465,5.885317,-0.116067237,-0.277892759,-0.271393994
21795,Skarvhausen,68.339714,15.38435,0.253827709,0.199753046,0.205879903
21915,Matløyso,59.952084,5.284933,0.13458946,0.040370514,-0.279259272
21957,Hesjeholmen,68.40231,16.859266,0.170430643,0.240171948,0.253744594
22015,Fureneset,61.16562,5.052417,-0.103884516,-0.14736237,-0.234680899
22035,Buktodden Nø,66.30817,13.432333,-0.101825691,0.057222081,0.08424523
22095,Hågardsneset,59.9844,5.929967,-0.180359777,-0.133194968,-0.175154618
22315,Skavhella,60.218933,5.5593,0.010785598,-0.109031617,-0.251768204
22335,Storvika,62.8021,6.977733,0.077072916,-0.142691995,-0.18900206
22435,Stretarneset,68.67398,14.982483,-0.031289809,0.172768318,0.03472577
22455,Bjørlykkestranda,62.16655,5.5954,0.109212142,0.201853016,-0.013787089
22555,Masterholman,64.16123,10.0496,0.218136256,-0.111237006,0.398897347
22596,Hesbygrunnen,59.1944,5.801317,0.044150232,-0.168864754,-0.224441886
22775,Kvaløya,65.001915,11.058617,0.089851696,0.142358002,0.091553678
22796,Renga S,66.58763,13.096633,0.007627109,0.03443142,0.179381978
22915,Kalsøyflu,60.03818,5.114417,-0.021261426,-0.040112541,-0.209826183
22955,Svollandsneset,59.685184,5.58855,0.191205722,0.094207629,-0.14410302
22995,Oldervik,67.07103,14.113967,0.087759078,0.054272375,0.085842672
23055,Storvika V,69.043915,17.357317,-0.005227049,0.143854872,0.24749338
23056,Lekangsund II,69.03768,17.264133,-0.016567717,0.132174304,0.292322986
23375,Sørevik,61.099983,5.729967,0.043477006,-0.11225036,-0.23762914
23436,Bjørnholmen,61.20625,4.935933,0.163994004,-0.069040254,-0.116872653
23695,Skotungneset,62.34895,6.910767,0.060956779,-0.07010295,-0.13421343
23755,Kjeiprød,68.785286,17.64295,-0.160521167,-0.169521561,-0.111726608
23816,Nordbotnet,66.25612,12.8942,0.13291565,0.243141745,0.26036697
24035,Håvikvågen S,60.170483,5.699283,0.110606308,0.10219832,0.063621846
24115,Singsholmen,63.419617,8.4127,0.115779672,0.259434277,0.195751978
24135,Utåker,59.77833,5.9024,0.037024139,-0.092248155,-0.196800871
24155,Ytre Jøvik,69.42218,17.3398,-0.211348829,-0.012899963,-0.050864245
24175,Ytre Lavollsfjord,69.419464,17.287567,-0.17596566,-0.001367171,0.134201666
24196,Gjelsøya,63.48245,8.27885,-0.022659953,0.068456262,0.174693317
24197,Værøya Ø,63.415966,8.483883,0.035470928,0.063050155,0.105178643
24295,Isbergan,66.81468,13.678183,0.086709713,0.11057722,0.221155109
24315,Gjæsingen,64.117615,9.981417,-0.012317391,0.152961967,0.167825472
24455,Klavelandet,61.60395,5.186533,0.206128119,0.049167019,0.000998836
24456,Slettholmene,63.88,8.559183,0.298472087,0.16228945,0.273970292
24495,Nystølvågen,60.052334,5.79345,0.122196424,-0.111050944,-0.117426124
